label,mac
MFN-FAB-01,D8C7C8C98426
MFN-FAB-02,D8C7C8C9841D
MFN-FAB-03,D8C7C8C98420
MFN-FAB-04,D8C7C8C98428
MFN-FAB-05,D8C7C8C9840D
MFN-FAB-06,D8C7C8C9841E
MFN-FAB-07,D8C7C8C9842B
MFN-FAB-08,D8C7C8C98429
MFN-FAB-09,D8C7C8C98422
MFN-FAB-10,D8C7C8C98427
MFN-FAB-11,D8C7C8C98421
MFN-FAB-12,D8C7C8C9841F
MFN-FAB-13,D8C7C8C9842A
MFN-FAB-14,D8C7C8C98418
MFN-FAB-15,D8C7C8C98425
MFN-FAB-16,D8C7C8C98430
MFN-FAB-17,D8C7C8C98437
MFN-FAB-18,D8C7C8C98417
MFN-FAB-19,D8C7C8C981B9
MFN-FAB-20,D8C7C8C98434
MFN-FAB-21,SCT11082401396
MFN-FAB-22,D8C7C8C9841C
MFN-FAB-23,D8C7C8C98415
MFN-FAB-24,D8C7C8C983F6
MFN-FAB-25,D8C7C8C983E2
MFN-FAB-26,D8C7C8C98406
MFN-FAB-27,d8:c7:c8:c9:84:24
